# Fri Jul 23 20:32:54 +0900 2010
FE4CA,[ハンマー]
FE4CB,[ネジ]
FE4CC,E699
FE4CD,E699
FE4CE,E69A
FE4CF,E70E
FE4D0,E711
FE4D1,E71A
FE4D2,E71A
FE4D3,[ネクタイ]
FE4D4,[帽子]
FE4D5,[ドレス]
FE4D6,E674
FE4D7,E674
FE4D8,[ブーツ]
FE4D9,[着物]
FE4DA,[ビキニ]
FE4DB,E70E
FE4DC,E70F
FE4DD,E715
FE4DE,[$￥]
FE4DF,[株価]
FE4E0,E715
FE4E1,[カード]
FE4E2,E6D6
FE4E3,E715
FE4E4,[飛んでいくお金]
FE4E5,[日の丸]
FE4E6,[USA]
FE4E7,[フランス]
FE4E8,[ドイツ]
FE4E9,[イタリア]
FE4EA,[イギリス]
FE4EB,[スペイン]
FE4EC,[ロシア]
FE4ED,[中国]
FE4EE,[韓国]
FE4EF,E681
FE4F0,E682
FE4F1,E6AD
FE4F2,E713
FE4F3,E714
FE4F4,[ウンチ]
FE4F5,[ピストル]
FE4F6,[炎]
FE4F7,[占い]
FE4F8,[占い]
FE4F9,E677
FE4FA,[包丁]
FE4FB,E6FB
FE4FC,[電池]
FE4FD,E70A
FE4FE,[コンセント]
FE4FF,E683
FE500,E683
FE501,E683
FE502,E683
FE503,E683
FE504,[名札]
FE505,E6F7
FE506,E66E
FE507,E66E
FE508,E66E
FE509,[注射]
FE50A,[薬]
FE50B,[A]
FE50C,[B]
FE50D,[AB]
FE50E,[O]
FE50F,E684
FE510,E685
FE511,E686
FE512,E6A4
FE513,[サンタ]
FE514,[祝日]
FE515,[花火]
FE516,[風船]
FE517,[クラッカー]
FE518,[門松]
FE519,[ひな祭り]
FE51A,[卒業式]
FE51B,[ランドセル]
FE51C,[こいのぼり]
FE51D,[線香花火]
FE51E,[風鈴]
FE51F,[ハロウィン]
FE520,[オメデトウ]
FE521,[七夕]
FE522,E65A
FE523,E687
FE524,E687
FE525,E688
FE526,E6CE
FE527,E689
FE528,E6D0
FE529,E6D3
FE52A,E6CF
FE52B,E6CF
FE52C,E665
FE52D,E665
FE52E,E665
FE52F,[スピーカ]
FE530,[メガホン]
FE531,[アンテナ]
FE532,[フキダシ]
FE533,[送信BOX]
FE534,[受信BOX]
FE535,E685
FE536,E6AE
FE537,E6B2
FE538,E716
FE539,E719
FE53A,E730
FE53B,E682
FE53C,[MD]
FE53D,[フロッピー]
FE53E,E675
FE53F,[画びょう]
FE540,E689
FE541,E689
FE542,[カレンダー]
FE543,[フォルダ]
FE544,[フォルダ]
FE545,E683
FE546,E683
FE547,E683
FE548,E689
FE549,[カレンダー]
FE54A,[グラフ]
FE54B,[グラフ]
FE54C,[グラフ]
FE54D,E683
FE54E,[画びょう]
FE54F,E683
FE550,[定規]
FE551,[三角定規]
FE552,E689
FE553,E698
FE7D0,E652
FE7D1,E653
FE7D2,E654
FE7D3,E655
FE7D4,E656
FE7D5,E657
FE7D6,E658
FE7D7,E659
FE7D8,E712
FE7D9,E733
FE7DA,E712
FE7DB,[トロフィー]
FE7DC,E754
FE7DD,[フットボール]
FE7DE,[水泳]
FE7DF,E65B
FE7E0,E65C
FE7E1,E65C
FE7E2,E65D
FE7E3,E65D
FE7E4,E65E
FE7E5,E65F
FE7E6,E660
FE7E7,[バス停]
