1F49A,E6EC
1F49B,E6EC
1F49C,E6EC
1F49D,E6EC
1F49E,E6ED
1F49F,E6F8
1F4A1,E6FB
1F4A2,E6FC
1F4A3,E6FE
1F4A4,E701
1F4A6,E706
1F4A7,E707
1F4A8,E708
1F4A9,[ウンチ]
1F4AA,[力こぶ]
1F4B0,E715
1F4B1,[$￥]
1F4B2,E715
1F4B5,E715
1F4B9,[株価]
1F4BA,E6B2
1F4BB,E716
1F4BC,E682
1F4BD,[MD]
1F4BE,[MD]
1F4BF,E68C
1F4C0,E68C
1F4C3,E689
1F4C4,E689
1F4C7,E683
1F4C8,[株価]
1F4CA,[株価]
1F4CB,E689
1F4D1,E689
1F4D2,E683
1F4D3,E683
1F4D4,E683
1F4D5,E683
1F4D6,E683
1F4D7,E683
1F4D8,E683
1F4D9,E683
1F4DA,E683
1F4DD,E689
1F4DE,E687
1F4E0,E6D0
1F4E1,[アンテナ]
1F4E2,[スピーカ]
1F4E3,[メガホン]
1F4E6,E685
1F4E7,E6D3
1F4E8,E6CF
1F4E9,E6CF
1F4EA,E665
1F4EB,E665
1F4EE,E665
1F4F1,E688
1F4F2,E6CE
1F4F3,[マナーモード]
1F4F4,[ケータイOFF]
1F4F6,[バリ3]
1F4F7,E681
1F4F9,E677
1F4FA,E68A
1F4FB,[ラジオ]
1F4FC,[ビデオ]
1F50A,[スピーカ]
1F50D,E6DC
1F50E,E6DC
1F50F,E6D9
1F510,E6D9
1F511,E6D9
1F512,E6D9
1F513,E6D9
1F514,E713
1F519,[←]
1F51D,[TOP]
1F51E,[18禁]
1F525,[炎]
1F528,[ハンマー]
1F52B,[ピストル]
1F52E,[占い]
1F52F,[占い]
1F530,[若葉マーク]
1F531,E71A
1F532,E69C
1F533,E69C
1F534,E69C
1F535,E69C
1F550,E6BA
1F551,E6BA
1F552,E6BA
1F553,E6BA
1F554,E6BA
1F555,E6BA
1F556,E6BA
1F557,E6BA
1F558,E6BA
1F559,E6BA
1F55A,E6BA
1F55B,E6BA
1F5FB,E740
1F5FC,[東京タワー]
1F5FD,[自由の女神]
1F601,E753
1F602,E72A
1F603,E6F0
1F604,E6F0
1F605,E722
1F606,E72A
1F609,E729
1F60A,E6F0
1F60B,E752
1F60C,E721
1F60D,E726
1F60F,E72C
1F612,E725
1F613,E723
1F614,E720
1F616,E6F3
1F618,E726
1F61A,E726
1F61C,E728
1F61D,E728
1F61E,E6F2
1F620,E6F1
1F621,E724
1F622,E72E
1F623,E72B
1F624,E753
1F625,E723
1F628,E757
1F629,E6F3
1F62A,E701
1F62B,E72B
1F62D,E72D
1F630,E723
1F631,E757
1F632,E6F4
1F633,E72A
1F635,E6F4
1F637,[風邪ひき]
1F638,E753
1F639,E72A
1F63A,E6F0
1F63B,E726
1F63C,E753
1F63D,E726
1F63E,E724
1F63F,E72E
1F640,E6F3
1F645,E72F
1F646,E70B
1F647,m(_ _)m
1F64C,＼(^o^)／
1F64D,E6F3
1F64E,E6F1
1F64F,(>人<)
1F680,[ロケット]
1F683,E65B
1F684,E65D
1F685,E65D
1F687,E65C
1F689,[駅]
1F68C,E660
1F68F,[バス停]
1F691,[救急車]
1F692,[消防車]
1F693,[パトカー]
1F695,E65E
1F697,E65E
1F699,E65F
1F69A,[トラック]
1F6A2,E661
1F6A4,E6A3
1F6A5,E66D
1F6A7,[工事中]
1F6A8,[パトカー]
1F6AC,E67F
1F6AD,E680
1F6B2,E71D
1F6B6,E733
1F6B9,[♂]
1F6BA,[♀]
1F6BB,E66E
1F6BC,[赤ちゃん]
1F6BD,E66E
1F6BE,E66E
1F6C0,E6F7
