# Fri Feb 19 21:47:58 +0900 2010
E468,☆彡
E5DB,E74F
E5DC,[株価]
E5DD,[警官]
E5DE,E665
E5DF,E666
EA80,E73E
EA81,E669
EA82,E661
EA83,[18禁]
EA84,[バリ3]
EA85,[COOL]
EA86,[割]
EA87,[サービス]
EA88,E6D8
EA89,E73B
EA8A,E739
EA8B,[指]
EA8C,[営]
EA8D,[↑]
EA8E,[↓]
EA8F,[占い]
EA90,[マナーモード]
EA91,[ケータイOFF]
EA92,E689
EA93,[ネクタイ]
EA94,[ハイビスカス]
EA95,[花束]
EA96,[サボテン]
EA97,E74B
EA98,E672
EA99,[祝]
EA9A,[薬]
EA9B,[風船]
EA9C,[クラッカー]
EA9D,[EZナビ]
EA9E,[帽子]
EA9F,[ブーツ]
EAA0,[マニキュア]
EAA1,E675
EAA2,[床屋]
EAA3,[着物]
EAA4,[ビキニ]
EAA5,E68D
EAA6,E6EC
EAA7,E6EC
EAA8,E6EC
EAA9,E6EC
EAAA,E6EC
EAAB,E6FA
EAAC,E657
EAAD,E6A0
EAAE,E71E
EAAF,E74D
EAB0,[ソフトクリーム]
EAB1,[ポテト]
EAB2,[だんご]
EAB3,[せんべい]
EAB4,E74C
EAB5,[パスタ]
EAB6,[カレー]
EAB7,[おでん]
EAB8,[すし]
EAB9,E745
EABA,[みかん]
EABB,[トマト]
EABC,[ナス]
EABD,[弁当]
EABE,[鍋]
EABF,E72C
EAC0,E720
EAC1,E753
EAC2,E72B
EAC3,E6F3
EAC4,E701
EAC5,E721
EAC6,E757
EAC7,[風邪ひき]
EAC8,E72A
EAC9,E725
EACA,E6F4
EACB,E723
EACC,E6FF
EACD,E6F0
EACE,E726
EACF,E726
EAD0,[鼻]
EAD1,E6F9
EAD2,(>人<)
EAD3,[拍手]
EAD4,E70B
EAD5,E700
EAD6,E695
EAD7,E72F
EAD8,E70B
EAD9,m(_ _)m
EADA,E6ED
EADB,[バニー]
EADC,[トランペット]
EADD,[ビリヤード]
EADE,[水泳]
EADF,[消防車]
EAE0,[救急車]
EAE1,[パトカー]
EAE2,[ジェットコースター]
EAE3,[門松]
EAE4,[ひな祭り]
EAE5,[卒業式]
EAE6,[ランドセル]
EAE7,[こいのぼり]
EAE8,E645
EAE9,[花嫁]
EAEA,[カキ氷]
EAEB,[線香花火]
EAEC,[巻貝]
EAED,[風鈴]
EAEE,[ハロウィン]
EAEF,[お月見]
EAF0,[サンタ]
EAF1,E6B3
EAF2,[虹]
EAF3,E669+E6EF
EAF4,E63E
EAF5,E67C
EAF6,[デパート]
EAF7,[城]
EAF8,[城]
EAF9,[工場]
EAFA,[フランス]
EAFB,[オープンウェブ]
EAFC,E6D9
EAFD,[ABCD]
EAFE,[abcd]
EAFF,[1234]
EB00,[記号]
EB01,[可]
EB02,[チェックマーク]
EB03,E6AE
EB04,[ラジオボタン]
EB05,E6DC
EB06,[←BACK]
EB07,[ブックマーク]
EB08,E6CE
EB09,E663
EB0A,E665
EB0B,E689
EB0C,E6D9
EB0D,E735
EB0E,[ドイツ]
EB0F,[イタリア]
EB10,[イギリス]
EB11,[中国]
EB12,[韓国]
EB13,[白人]
EB14,[中国人]
EB15,[インド人]
EB16,[おじいさん]
EB17,[おばあさん]
EB18,[赤ちゃん]
EB19,[工事現場の人]
EB1A,[お姫様]
EB1B,[イルカ]
EB1C,[ダンス]
EB1D,E751
EB1E,[ゲジゲジ]
EB1F,[ゾウ]
EB20,[コアラ]
EB21,[牛]
EB22,[ヘビ]
EB23,[ニワトリ]
EB24,[イノシシ]
EB25,[ラクダ]
EB26,[A]
EB27,[B]
EB28,[O]
EB29,[AB]
EB2A,E698
EB2B,E699
EB2C,E6DE
EB2D,E6F5
EB2E,E700
EB2F,E703
EB30,E704
EB31,E70A
EB32,[メロン]
EB33,[パイナップル]
EB34,[ブドウ]
EB35,E744
EB36,[とうもろこし]
EB37,[キノコ]
EB38,[栗]
EB39,[モモ]
EB3A,[やきいも]
EB3B,[ピザ]
EB3C,[チキン]
EB3D,[七夕]
EB3E,E671
EB3F,[辰]
EB40,[ピアノ]
EB41,E712
EB42,E751
EB43,[ボーリング]
EB44,[なまはげ]
EB45,[天狗]
EB46,[パンダ]
EB47,E728
EB48,E755
EB49,[花]
EB4A,[アイスクリーム]
EB4B,[ドーナツ]
EB4C,[クッキー]
EB4D,[チョコ]
EB4E,[キャンディ]
EB4F,[キャンディ]
EB50,(/_＼)
EB51,(・×・)
EB52,|(・×・)|
EB53,[火山]
EB54,E6EC
EB55,[ABC]
EB56,[プリン]
EB57,[ミツバチ]
EB58,[てんとう虫]
EB59,[ハチミツ]
EB5A,E745
EB5B,[飛んでいくお金]
EB5C,[クラクラ]
EB5D,E724
EB5E,E724
EB5F,E6B3
EB60,E726
EB61,E6F0
EB62,E6CF
EB63,E72A
EB64,E72A
EB65,E726
EB66,E6F3
EB67,E6F3
EB68,E72E
EB69,E72E
EB6A,E753
EB6B,[ドレス]
EB6C,[モアイ]
EB6D,[駅]
EB6E,[花札]
EB6F,[ジョーカー]
EB70,[エビフライ]
EB71,E6D3
EB72,E733
EB73,[パトカー]
EB74,[EZムービー]
EB75,E6ED
EB76,E74F
EB77,E711
EB78,E717
EB79,E735
EB7A,E73C
EB7B,E73D
EB7C,E73F
EB7D,E746
EB7E,E74E
EB7F,E753
EB80,E753
EB81,[Cメール]
EB82,E741
EB83,E693
EB84,E6E0
EB85,(^-^)/
EB86,＼(^o^)／
EB87,E6F3
EB88,E6F1
EB89,[Java]
EB8A,[BREW]
EB8B,[EZ着うた]
EB8C,[EZナビ]
EB8D,[WIN]
EB8E,[プレミアム]
